battery_sn,data_date,q,dischar_sum,soh_bms,soh_v1,cal_soh_v2,is_abnormal,vol_diff,soc_diff,battery_type,soh_fit,health_level,group_size,cal_soh_v2_rank,remaining_km
0PFBBDCBA011,20250611,460,197981.6,98.0,92.23,,,,,,,,,,
0PFBBDCBA013,20250611,460,,,,,,,,,,,,,
0PFBBDCCA021,20250611,460,191553.4,98.0,,,,,,,,,,,
0PFBBDCGA034,20250611,460,126183.1,98.0,91.74,,,,,,,,,,
0PFBBDCMA013,20250611,460,303316.6,96.0,,,,,,,,,,,
0PFBBDCNA002,20250611,460,223151.2,98.0,,,,,,,,,,,
0PFBBDCNA020,20250611,460,235952.0,97.0,90.07,,,,,,,,,,
0PFBBDCNA022,20250611,460,239839.3,97.0,90.29,,,,,,,,,,
0PFBBDCNA025,20250611,460,226773.8,98.0,87.08,,,,,,,,,,
0PFBBDCNA038,20250611,460,219144.6,98.0,90.19,,,,,,,,,,
0PFBBDCVA010,20250611,460,114986.1,98.0,92.54,,,,,,,,,,
0PFPBDCEA062,20250611,460,243487.5,91.0,91.24,,,,,,,,,,
0PFPBDCEA064,20250611,460,237588.2,91.0,,,,,,,,,,,
0PFPBDCEA069,20250611,460,272697.0,90.0,,,,,,,,,,,
0PFPBDCEA071,20250611,460,230573.4,98.0,90.61,,,,,,,,,,
0PFPBDCEA072,20250611,460,250406.5,92.0,,,,,,,,,,,
0PFPBE13A006,20250611,460,256440.3,97.0,90.15,,,,,,,,,,
0PFPBE19A008,20250611,460,231494.6,98.0,,,,,,,,,,,
0PFPBE2SA004,20250611,460,117003.4,98.0,93.18,,,,,,,,,,
0PFPBE31A020,20250611,460,55498.8,99.0,,,,,,,,,,,
0PFPBE38A026,20250611,460,130241.6,98.0,,,,,,,,,,,
0PFPBE3CA002,20250611,460,127374.2,98.0,,,,,,,,,,,
0PFPBE3CA004,20250611,460,190076.1,98.0,,,,,,,,,,,
0PFPBE3CA005,20250611,460,193763.4,98.0,,,,,,,,,,,
0PFPBE4EA002,20250611,460,184988.3,98.0,91.66,,,,,,,,,,
0PFPBE73A032,20250611,460,49598.1,99.0,,,,,,,,,,,
0PFPBE9TA002,20250611,460,85894.4,98.0,,,,,,,,,,,
0PFBBD9CA001,20250612,460,137288.7,98.0,,,,,,,,,,,
0PFBBD9HA002,20250612,460,125434.0,93.0,,,,,,,,,,,
0PFBBD9NA006,20250612,460,241361.4,91.0,86.46,,,,,,,,,,
0PFBBD9SA003,20250612,460,140385.0,98.0,,,,,,,,,,,
0PFBBDA7A003,20250612,460,256459.2,98.0,,,,,,,,,,,
0PFBBDA8A001,20250612,460,230187.3,98.0,281.14,,,,,,,,,,
0PFBBDACA002,20250612,460,230551.1,91.0,90.78,,,,,,,,,,
0PFBBDACA003,20250612,460,248885.0,97.0,,,,,,,,,,,
0PFBBDAFA011,20250612,460,307075.0,97.0,89.38,,,,,,,,,,
0PFBBDAGA004,20250612,460,233710.9,98.0,90.67,,,,,,,,,,
0PFBBDAHA001,20250612,460,167731.7,98.0,92.14,,,,,,,,,,
0PFBBDAJA014,20250612,460,160494.9,98.0,,,,,,,,,,,
0PFBBDAKA008,20250612,460,117989.3,98.0,,,,,,,,,,,
0PFBBDAKA010,20250612,460,301954.3,90.0,89.94,,,,,,,,,,
0PFBBDARA005,20250612,460,215918.1,98.0,,,,,,,,,,,
0PFBBDARA006,20250612,460,279011.6,96.0,,,,,,,,,,,
0PFBBDARA008,20250612,460,292465.0,96.0,,,,,,,,,,,
0PFBBDATA005,20250612,460,192433.8,98.0,91.43,,,,,,,,,,
0PFBBDATA011,20250612,460,16015.1,100.0,98.3,,,,,,,,,,
0PFBBDB1A008,20250612,460,309457.7,96.0,88.27,,,,,,,,,,
0PFBBDB1A019,20250612,460,244559.2,97.0,131.86,,,,,,,,,,
0PFBBDB2A005,20250612,460,201314.0,98.0,,,,,,,,,,,
0PFBBDB2A016,20250612,460,115229.6,98.0,,,,,,,,,,,
0PFBBDB3A004,20250612,460,158823.8,98.0,92.6,,,,,,,,,,
0PFBBDB4A003,20250612,460,189524.0,98.0,112.33,,,,,,,,,,
0PFBBDB4A006,20250612,460,135750.8,98.0,,,,,,,,,,,
0PFBBDB4A010,20250612,460,185324.5,98.0,92.41,,,,,,,,,,
0PFBBDB5A010,20250612,460,137537.3,98.0,,,,,,,,,,,
0PFBBDB5A012,20250612,460,112122.4,98.0,106.33,,,,,,,,,,
0PFBBDB9A003,20250612,460,134275.5,98.0,,,,,,,,,,,
0PFBBDB9A008,20250612,460,,,98.13,,,,,,,,,,
0PFBBDB9A013,20250612,460,130667.6,94.0,,,,,,,,,,,
0PFBBDBBA002,20250612,460,329022.7,96.0,,,,,,,,,,,
0PFBBDBCA018,20250612,460,141323.6,98.0,92.57,,,,,,,,,,
0PFBBDBEA031,20250612,460,193746.8,98.0,90.52,,,,,,,,,,
0PFBBDBEA040,20250612,460,112993.3,98.0,91.69,,,,,,,,,,
0PFBBDBFA001,20250612,460,71960.0,99.0,96.43,,,,,,,,,,
0PFBBDBJA013,20250612,460,216927.0,98.0,,,,,,,,,,,
0PFBBDBSA057,20250612,460,99567.0,99.0,,,,,,,,,,,
